Weeks,B1_320CPT,B1_320FO,B1_330CPT,B1_330FO,B2_320CPT,B2_320FO,B2_330CPT,B2_330FO
W1,10,10,5,5,7,7,3,3
W2,10,10,5,5,7,7,3,3
W3,10,10,7,5,7,7,3,3
W4,11,10,7,5,7,7,3,8
W5,10,10,7,5,7,7,3,8
W6,13,10,7,5,7,7,3,8
W7,10,12,7,13,7,7,7,8
W8,10,12,5,5,7,7,3,8
W9,11,12,5,5,7,7,12,8
W10,10,12,6,5,7,7,3,8
W11,10,12,7,5,7,7,3,8
W12,10,10,5,5,7,7,8,3
W13,10,10,5,5,7,7,8,3
W14,10,10,5,5,7,7,8,3
W15,13,13,8,6,6,6,4,4
W16,13,13,8,6,6,6,4,4
W17,13,13,8,6,6,14,4,4
W18,13,13,8,6,6,6,8,9
W19,13,13,8,6,6,6,8,9
W20,13,13,8,6,6,6,8,9
W21,13,13,8,6,6,6,8,9
W22,13,13,8,6,6,6,4,9
W23,13,13,8,6,6,6,4,9
W24,13,13,8,6,6,6,4,9
W25,13,13,8,6,6,6,4,9
W26,13,13,8,6,6,6,4,9
