Crew_ID,Rank,Cur_Fleet,Seniority,Bid_RankChange,Bid_BaseChange,Bid_FleetChange,Last_safety_recurring,Last_refresher_training,Instructor,Retiring_Date,Current_Base
900424,CPT,A320,2,,,,12/16/2015,12/1/2015,,,1
900201,CPT,A320,4,,,A330,11/23/2015,11/26/2015,,6/25/2016,1
900147,FO,A320,2,,,,12/15/2015,11/5/2015,TR3233_1,,1
900488,FO,A320,3,,2,,11/27/2015,11/3/2015,,,1
900387,CPT,A330,2,,,,11/24/2015,11/7/2015,,,1
900126,CPT,A320,1,,,A330,10/2/2015,12/18/2015,,,2
900373,CPT,A330,1,,,,10/3/2015,12/25/2015,,,2
900421,CPT,A330,3,,,,12/14/2015,12/15/2015,,,2
900184,FO,A330,1,,1,,10/27/2015,12/31/2015,,,2
900254,FO,A330,2,Y,,,12/17/2015,12/17/2015,,,2
