,base,rank,fleet,time,value
0,1,CPT,A330,14,1.0
1,1,CPT,A330,15,1.0
2,1,CPT,A330,16,1.0
3,1,CPT,A330,17,1.0
4,1,CPT,A330,18,1.0
5,1,CPT,A330,19,1.0
6,1,CPT,A330,20,1.0
7,1,CPT,A330,21,1.0
8,1,CPT,A330,22,1.0
9,1,CPT,A330,23,1.0
10,1,CPT,A330,24,1.0
11,1,CPT,A330,25,1.0
12,1,FO,A320,14,2.0
13,1,FO,A320,15,2.0
14,1,FO,A320,16,2.0
15,1,FO,A320,17,2.0
16,1,FO,A320,18,2.0
17,1,FO,A320,19,2.0
18,1,FO,A320,20,2.0
19,1,FO,A320,21,2.0
20,1,FO,A320,22,2.0
21,1,FO,A320,23,2.0
22,1,FO,A320,24,2.0
23,1,FO,A320,25,2.0
24,1,FO,A330,0,2.0
25,1,FO,A330,1,2.0
26,1,FO,A330,2,2.0
27,1,FO,A330,3,2.0
28,1,FO,A330,4,2.0
29,1,FO,A330,5,2.0
30,1,FO,A330,6,2.0
31,1,FO,A330,7,2.0
32,1,FO,A330,8,2.0
33,1,FO,A330,9,2.0
34,1,FO,A330,10,2.0
35,1,FO,A330,11,2.0
36,1,FO,A330,12,2.0
37,1,FO,A330,13,2.0
38,1,FO,A330,14,3.0
39,1,FO,A330,15,3.0
40,1,FO,A330,16,3.0
41,1,FO,A330,17,3.0
42,1,FO,A330,18,3.0
43,1,FO,A330,19,3.0
44,1,FO,A330,20,3.0
45,1,FO,A330,21,3.0
46,1,FO,A330,22,3.0
47,1,FO,A330,23,3.0
48,1,FO,A330,24,3.0
49,1,FO,A330,25,3.0
50,2,FO,A330,14,1.0
51,2,FO,A330,15,1.0
52,2,FO,A330,16,1.0
53,2,FO,A330,17,1.0
54,2,FO,A330,18,1.0
55,2,FO,A330,19,1.0
56,2,FO,A330,20,1.0
57,2,FO,A330,21,1.0
58,2,FO,A330,22,1.0
59,2,FO,A330,23,1.0
60,2,FO,A330,24,1.0
61,2,FO,A330,25,1.0
